Hobbies,Skills,Interest,University,Dedication_Hours_Per_Week,Sports/Clubs,Choice_of_Selection,Course_Fee,Learning_Environment,Assessment,Desired_Industries,Predicted Degree
Reading,Problem Solving,Business,ICBT Campus,10 - 20 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Large Lectures,Presentations,Computer Science,Arts
Reading,Problem Solving,Arts,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Information Systems,Arts
Music,Programming,Business,ICBT Campus,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,AI & Data Science,Arts
Music,Communication,Technology,Informatics Institute of Technology,10 - 20 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Business Analytics,Arts
Sports,Programming,Technology,Esoft Metro Campus,Over 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Information Systems,Science
Art,Programming,Engineering,Informatics Institute of Technology,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Large Lectures,Reports,Healthcare,Arts
Art,Communication,Science,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Software Engineering,Arts
Music,Communication,Engineering,Esoft Metro Campus,Over 30 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Analytics,Arts
Art,Leadership,Arts,ICBT Campus,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Reports,Cyber Security,Arts
Art,Communication,Business,Asia Pacific Institute of Information Technology,Under 10 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Reports,Business Analytics,Arts
Reading,Problem Solving,Arts,Esoft Metro Campus,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Exams,Business Analytics,Arts
Music,Programming,Technology,ICBT Campus,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Exams,Business Information Systems,Arts
Travel,Programming,Engineering,Informatics Institute of Technology,Over 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Software Engineering,Arts
Music,Problem Solving,Engineering,Esoft Metro Campus,20 - 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Business Analytics,Arts
Travel,Communication,Engineering,ICBT Campus,Over 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Healthcare,Arts
Reading,Problem Solving,Arts,Informatics Institute of Technology,20 - 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Exams,Business Information Systems,Arts
Sports,Problem Solving,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Business Information Systems,Science
Art,Leadership,Business,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Discussion Groups,Exams,Business Analytics,Arts
Reading,Problem Solving,Business,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Exams,Computer Science,Arts
Art,Programming,Arts,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Software Engineering,Arts
Sports,Problem Solving,Engineering,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Art,Science
Sports,Programming,Science,Esoft Metro Campus,Over 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Healthcare,Science
Reading,Programming,Arts,Esoft Metro Campus,10 - 20 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Exams,Business Analytics,Arts
Sports,Programming,Arts,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Business Management,Science
Travel,Communication,Technology,ICBT Campus,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Management,Arts
Sports,Leadership,Business,ICBT Campus,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Cyber Security,Science
Art,Programming,Arts,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Reports,Software Engineering,Arts
Art,Programming,Arts,Informatics Institute of Technology,20 - 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Healthcare,Arts
Art,Communication,Engineering,ICBT Campus,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Business Information Systems,Arts
Art,Programming,Engineering,Informatics Institute of Technology,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Law,Arts
Travel,Problem Solving,Science,Esoft Metro Campus,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,AI & Data Science,Arts
Music,Problem Solving,Technology,Informatics Institute of Technology,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Exams,Network Security,Arts
Reading,Leadership,Science,Esoft Metro Campus,20 - 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Law,Arts
Art,Programming,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Reports,Healthcare,Arts
Sports,Communication,Business,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Exams,Software Engineering,Science
Art,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Software Engineering,Arts
Sports,Communication,Technology,ICBT Campus,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Business Analytics,Science
Sports,Communication,Engineering,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Business Analytics,Science
Art,Problem Solving,Technology,Esoft Metro Campus,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Law,Arts
Travel,Communication,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Internship,"Less than Rs 1,000,000/=",Online Lectures,Exams,Business Information Systems,Arts
Sports,Problem Solving,Technology,Informatics Institute of Technology,Over 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Exams,Cyber Security,Science
Sports,Communication,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Reports,Business Analytics,Science
Art,Problem Solving,Technology,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Network Security,Arts
Sports,Programming,Business,ICBT Campus,Under 10 hours,No,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Reports,Healthcare,Science
Sports,Leadership,Science,Esoft Metro Campus,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Network Security,Science
Art,Problem Solving,Arts,Esoft Metro Campus,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Presentations,Cyber Security,Arts
Art,Problem Solving,Science,Informatics Institute of Technology,Under 10 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Reports,Computer Science,Arts
Reading,Leadership,Technology,ICBT Campus,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Computer Science,Arts
Travel,Problem Solving,Business,Sri Lanka Institute of Information Technology,Over 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Software Engineering,Arts
Travel,Problem Solving,Engineering,Esoft Metro Campus,20 - 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Business Analytics,Arts
Sports,Communication,Business,Esoft Metro Campus,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,Business Management,Science
Travel,Leadership,Technology,Informatics Institute of Technology,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Law,Arts
Sports,Programming,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Art,Science
Reading,Problem Solving,Business,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Presentations,Cyber Security,Arts
Art,Leadership,Technology,ICBT Campus,Under 10 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Software Engineering,Arts
Art,Communication,Business,Esoft Metro Campus,10 - 20 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Business Management,Arts
Art,Programming,Arts,Esoft Metro Campus,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Large Lectures,Exams,Business Analytics,Arts
Travel,Leadership,Arts,Sri Lanka Institute of Information Technology,Under 10 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Management,Arts
Reading,Programming,Business,Asia Pacific Institute of Information Technology,Under 10 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Presentations,Business Management,Arts
Travel,Programming,Engineering,Esoft Metro Campus,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Reports,Cyber Security,Arts
Travel,Programming,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Software Engineering,Arts
Reading,Problem Solving,Arts,Informatics Institute of Technology,10 - 20 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Business Information Systems,Arts
Reading,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Network Security,Arts
Reading,Communication,Business,ICBT Campus,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Law,Arts
Reading,Communication,Engineering,Esoft Metro Campus,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Presentations,Software Engineering,Arts
Art,Leadership,Science,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Art,Arts
Music,Communication,Arts,Informatics Institute of Technology,Over 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Business Management,Arts
Music,Programming,Business,ICBT Campus,20 - 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Large Lectures,Exams,Business Information Systems,Arts
Reading,Programming,Technology,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Cyber Security,Arts
Music,Problem Solving,Business,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,AI & Data Science,Arts
Music,Programming,Technology,ICBT Campus,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Law,Arts
Reading,Leadership,Business,Informatics Institute of Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Law,Arts
Music,Programming,Engineering,Informatics Institute of Technology,Over 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Network Security,Arts
Travel,Programming,Engineering,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,AI & Data Science,Arts
Sports,Leadership,Engineering,Esoft Metro Campus,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Healthcare,Science
Sports,Communication,Science,ICBT Campus,20 - 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Analytics,Science
Reading,Communication,Technology,ICBT Campus,10 - 20 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,AI & Data Science,Arts
Art,Leadership,Engineering,ICBT Campus,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Business Management,Arts
Reading,Problem Solving,Science,Informatics Institute of Technology,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Business Management,Arts
Art,Programming,Technology,Esoft Metro Campus,Over 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Management,Arts
Sports,Leadership,Business,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Management,Science
Reading,Programming,Science,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Software Engineering,Arts
Travel,Problem Solving,Arts,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Reports,Law,Arts
Music,Programming,Science,ICBT Campus,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Exams,AI & Data Science,Arts
Art,Leadership,Science,Esoft Metro Campus,Over 30 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Reports,Law,Arts
Music,Programming,Technology,Informatics Institute of Technology,20 - 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Art,Arts
Music,Communication,Business,Esoft Metro Campus,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,AI & Data Science,Arts
Reading,Problem Solving,Arts,Esoft Metro Campus,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Software Engineering,Arts
Music,Problem Solving,Engineering,Informatics Institute of Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Art,Arts
Travel,Problem Solving,Engineering,ICBT Campus,20 - 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Reports,Law,Arts
Music,Leadership,Science,Esoft Metro Campus,10 - 20 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,Art,Arts
Reading,Problem Solving,Technology,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Presentations,Network Security,Arts
Travel,Communication,Technology,Informatics Institute of Technology,10 - 20 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Reports,Art,Arts
Sports,Leadership,Engineering,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,AI & Data Science,Science
Music,Communication,Arts,ICBT Campus,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Large Lectures,Reports,Business Management,Arts
Reading,Programming,Business,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Business Management,Arts
Sports,Programming,Arts,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Healthcare,Science
Sports,Programming,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Business Analytics,Science
Art,Programming,Engineering,Esoft Metro Campus,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Law,Arts
Travel,Communication,Business,Esoft Metro Campus,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Exams,Network Security,Arts
Music,Leadership,Technology,Esoft Metro Campus,Under 10 hours,Yes,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,AI & Data Science,Arts
Reading,Leadership,Science,Informatics Institute of Technology,10 - 20 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Reports,AI & Data Science,Arts
Art,Problem Solving,Science,Informatics Institute of Technology,Over 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Exams,Cyber Security,Arts
Travel,Communication,Engineering,ICBT Campus,20 - 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Reports,Healthcare,Arts
Art,Programming,Technology,Esoft Metro Campus,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Large Lectures,Reports,Computer Science,Arts
Travel,Communication,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Law,Arts
Travel,Problem Solving,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,AI & Data Science,Arts
Music,Problem Solving,Science,ICBT Campus,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Information Systems,Arts
Travel,Communication,Science,Informatics Institute of Technology,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Reports,AI & Data Science,Arts
Art,Communication,Technology,ICBT Campus,Over 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Cyber Security,Arts
Travel,Communication,Technology,ICBT Campus,10 - 20 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Art,Arts
Music,Leadership,Science,ICBT Campus,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Reports,Software Engineering,Arts
Music,Programming,Arts,ICBT Campus,10 - 20 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Healthcare,Arts
Art,Communication,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Large Lectures,Reports,Software Engineering,Arts
Sports,Communication,Engineering,Esoft Metro Campus,Over 30 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Presentations,Business Information Systems,Science
Sports,Communication,Technology,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Business Information Systems,Science
Travel,Problem Solving,Engineering,ICBT Campus,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Healthcare,Arts
Reading,Problem Solving,Science,ICBT Campus,20 - 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Healthcare,Arts
Travel,Leadership,Science,ICBT Campus,20 - 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Business Analytics,Arts
Art,Programming,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Healthcare,Arts
Art,Leadership,Technology,Informatics Institute of Technology,10 - 20 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Software Engineering,Arts
Art,Programming,Technology,Informatics Institute of Technology,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Art,Arts
Art,Problem Solving,Arts,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Software Engineering,Arts
Art,Problem Solving,Engineering,Informatics Institute of Technology,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Large Lectures,Presentations,Computer Science,Arts
Music,Problem Solving,Technology,ICBT Campus,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Law,Arts
Sports,Leadership,Business,ICBT Campus,20 - 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Reports,Software Engineering,Science
Art,Communication,Business,ICBT Campus,10 - 20 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Business Management,Arts
Reading,Communication,Science,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Business Analytics,Arts
Reading,Problem Solving,Engineering,ICBT Campus,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Cyber Security,Arts
Reading,Communication,Technology,Informatics Institute of Technology,20 - 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Business Information Systems,Arts
Reading,Communication,Business,Esoft Metro Campus,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Reports,Computer Science,Arts
Music,Leadership,Engineering,Esoft Metro Campus,10 - 20 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Business Information Systems,Arts
Reading,Programming,Science,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Business Analytics,Arts
Art,Problem Solving,Arts,Informatics Institute of Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Large Lectures,Reports,AI & Data Science,Arts
Travel,Problem Solving,Engineering,ICBT Campus,Under 10 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Healthcare,Arts
Reading,Leadership,Engineering,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Computer Science,Arts
Music,Leadership,Arts,Informatics Institute of Technology,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Healthcare,Arts
Music,Communication,Engineering,Esoft Metro Campus,Over 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Network Security,Arts
Reading,Problem Solving,Science,ICBT Campus,20 - 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Exams,Computer Science,Arts
Travel,Programming,Science,Esoft Metro Campus,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Business Analytics,Arts
Reading,Leadership,Arts,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Cyber Security,Arts
Music,Programming,Technology,Asia Pacific Institute of Information Technology,Under 10 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Exams,Computer Science,Arts
